Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
MEX1,Liga MX,2012/2013,2012-07-21,01:30,Chiapas,U.A.N.L.- Tigres,0,4,A,2.93,3.34,2.6,2.95,3.5,2.64,2.74,3.1,2.51
MEX1,Liga MX,2012/2013,2012-07-21,03:30,Club Tijuana,Puebla,2,0,H,1.91,3.58,4.49,2.24,3.58,4.49,1.93,3.26,3.83
MEX1,Liga MX,2012/2013,2012-07-21,23:00,Cruz Azul,Monarcas,0,0,D,2.02,3.53,4.13,2.1,3.7,4.13,2.0,3.26,3.56
MEX1,Liga MX,2012/2013,2012-07-21,23:00,Queretaro,Club Leon,0,2,A,3.82,3.25,2.22,3.82,3.35,2.29,3.26,3.18,2.16
MEX1,Liga MX,2012/2013,2012-07-22,01:00,Monterrey,Club America,0,0,D,1.85,3.87,4.5,2.1,3.87,4.5,1.92,3.37,3.79
MEX1,Liga MX,2012/2013,2012-07-22,01:00,Santos Laguna,Atl. San Luis,2,1,H,1.71,3.85,5.62,1.72,4.4,5.75,1.63,3.63,5.06
MEX1,Liga MX,2012/2013,2012-07-22,03:00,Atlas,U.N.A.M.- Pumas,1,1,D,2.63,3.23,2.98,2.71,3.25,2.98,2.53,3.04,2.76
MEX1,Liga MX,2012/2013,2012-07-22,18:00,Toluca,Guadalajara Chivas,2,1,H,2.52,3.33,3.06,2.61,3.33,3.06,2.47,3.09,2.79
MEX1,Liga MX,2012/2013,2012-07-23,00:00,Atlante,Pachuca,0,0,D,2.65,3.38,2.84,2.7,3.38,2.84,2.6,3.11,2.65
MEX1,Liga MX,2012/2013,2012-07-28,01:30,Monarcas,Monterrey,1,0,H,2.85,3.16,2.75,2.85,3.33,2.75,2.6,3.13,2.6
MEX1,Liga MX,2012/2013,2012-07-28,03:30,Club Leon,Club Tijuana,4,0,H,1.95,3.38,4.32,2.0,3.5,4.59,1.88,3.29,3.99
MEX1,Liga MX,2012/2013,2012-07-28,23:00,Club America,Chiapas,4,2,H,1.67,4.12,5.46,1.75,4.12,5.46,1.66,3.59,4.79
MEX1,Liga MX,2012/2013,2012-07-29,01:00,Pachuca,Atlas,0,3,A,1.81,3.7,4.97,1.91,3.8,4.97,1.81,3.38,4.2
MEX1,Liga MX,2012/2013,2012-07-29,01:00,U.A.N.L.- Tigres,Atlante,2,1,H,1.47,4.46,8.44,1.47,4.8,8.5,1.43,4.04,7.19
MEX1,Liga MX,2012/2013,2012-07-29,03:00,Atl. San Luis,Cruz Azul,1,2,A,3.15,3.33,2.45,3.15,3.33,2.46,2.9,3.14,2.34
MEX1,Liga MX,2012/2013,2012-07-29,18:00,Puebla,Toluca,1,3,A,2.45,3.36,3.18,2.54,3.36,3.18,2.41,3.15,2.8
MEX1,Liga MX,2012/2013,2012-07-29,18:00,U.N.A.M.- Pumas,Queretaro,3,0,H,1.61,3.97,6.77,1.66,3.97,6.77,1.57,3.69,5.6
MEX1,Liga MX,2012/2013,2012-07-29,23:00,Guadalajara Chivas,Santos Laguna,0,1,A,2.45,3.42,3.08,2.68,3.31,3.1,2.39,3.13,2.87
MEX1,Liga MX,2012/2013,2012-08-04,01:00,Santos Laguna,Puebla,2,2,D,1.41,5.01,8.6,1.5,5.01,8.6,1.44,4.15,6.64
MEX1,Liga MX,2012/2013,2012-08-04,01:30,Club Tijuana,U.N.A.M.- Pumas,1,0,H,2.69,3.17,2.96,2.75,3.25,3.12,2.55,3.05,2.72
