Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Norway,Eliteserien,2012,23/03/2012,18:00,Molde,Stromsgodset,2,1,H,1.76,3.87,5.18,1.76,4.09,6.5,1.62,3.75,5.24
Norway,Eliteserien,2012,24/03/2012,17:00,Honefoss,Lillestrom,0,0,D,2.58,3.5,2.88,2.6,3.5,2.88,2.45,3.29,2.72
Norway,Eliteserien,2012,25/03/2012,17:00,Odd,Sogndal,0,4,A,1.62,3.99,6.4,1.62,4.0,6.4,1.57,3.78,5.64
Norway,Eliteserien,2012,25/03/2012,17:00,Stabaek,Aalesund,0,0,D,2.81,3.47,2.65,2.81,3.47,2.65,2.63,3.28,2.52
Norway,Eliteserien,2012,25/03/2012,17:00,Tromso,Fredrikstad,1,0,H,1.58,4.13,6.82,1.7,4.13,6.82,1.6,3.69,5.38
Norway,Eliteserien,2012,25/03/2012,17:00,Valerenga,Haugesund,2,1,H,1.88,3.67,4.65,1.88,3.9,4.84,1.73,3.59,4.46
Norway,Eliteserien,2012,25/03/2012,19:00,Rosenborg,Brann,3,1,H,1.53,5.05,5.85,1.58,5.05,6.0,1.51,4.31,5.46
Norway,Eliteserien,2012,26/03/2012,18:00,Sandnes,Viking,2,2,D,3.06,3.41,2.49,3.06,3.41,2.54,2.82,3.26,2.39
Norway,Eliteserien,2012,30/03/2012,18:00,Brann,Sandnes,3,1,H,1.68,4.09,5.5,1.68,4.09,6.0,1.61,3.78,5.17
Norway,Eliteserien,2012,31/03/2012,17:00,Stromsgodset,Valerenga,3,2,H,2.08,3.61,3.81,2.35,3.61,3.81,2.1,3.4,3.23
Norway,Eliteserien,2012,01/04/2012,17:00,Fredrikstad,Stabaek,5,1,H,2.0,3.81,3.88,2.0,3.81,4.15,1.92,3.45,3.67
Norway,Eliteserien,2012,01/04/2012,17:00,Haugesund,Molde,2,0,H,2.35,3.64,3.13,2.4,3.64,3.21,2.21,3.36,3.02
Norway,Eliteserien,2012,01/04/2012,17:00,Sogndal,Honefoss,0,0,D,2.04,3.38,4.2,2.04,3.6,4.2,1.95,3.37,3.67
Norway,Eliteserien,2012,01/04/2012,17:00,Viking,Odd,1,0,H,1.79,3.88,4.84,1.85,3.88,5.25,1.76,3.56,4.29
Norway,Eliteserien,2012,01/04/2012,19:00,Lillestrom,Rosenborg,2,2,D,3.3,3.48,2.33,3.43,3.6,2.33,3.16,3.36,2.14
