Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2012/2013,17/08/2012,17:00,Pogon Szczecin,Zaglebie,4,0,H,3.23,3.21,2.47,3.3,3.3,2.5,3.01,3.11,2.34
Poland,Ekstraklasa,2012/2013,17/08/2012,19:30,Piast Gliwice,Gornik Z.,1,2,A,2.72,3.12,2.98,2.78,3.25,3.3,2.56,3.05,2.78
Poland,Ekstraklasa,2012/2013,18/08/2012,12:30,Jagiellonia,Podbeskidzie,2,1,H,1.74,3.6,5.63,1.85,3.6,5.63,1.74,3.42,4.72
Poland,Ekstraklasa,2012/2013,18/08/2012,14:45,Widzew Lodz,Slask Wroclaw,2,1,H,2.7,3.11,2.95,2.8,3.2,2.95,2.66,3.03,2.66
Poland,Ekstraklasa,2012/2013,18/08/2012,17:00,Lech Poznan,Ruch,4,0,H,2.12,3.29,3.89,2.12,3.3,4.0,2.05,3.16,3.61
Poland,Ekstraklasa,2012/2013,19/08/2012,13:30,Wisla,GKS Belchatow,2,1,H,1.5,4.13,8.31,1.55,4.2,8.31,1.5,3.88,6.48
Poland,Ekstraklasa,2012/2013,19/08/2012,16:00,Legia,Korona Kielce,4,0,H,1.63,3.67,7.21,1.7,3.71,7.22,1.63,3.49,5.66
Poland,Ekstraklasa,2012/2013,20/08/2012,17:30,Lechia Gdansk,Polonia Warszawa,1,3,A,2.45,2.99,3.54,2.5,3.25,3.6,2.3,3.01,3.22
Poland,Ekstraklasa,2012/2013,24/08/2012,17:00,Zaglebie,Piast Gliwice,2,1,H,1.85,3.64,4.76,1.91,3.64,4.76,1.83,3.43,4.2
Poland,Ekstraklasa,2012/2013,24/08/2012,19:30,Jagiellonia,Gornik Z.,1,1,D,2.24,3.22,3.7,2.29,3.35,3.9,2.1,3.16,3.5
Poland,Ekstraklasa,2012/2013,25/08/2012,12:30,Podbeskidzie,Wisla,1,1,D,4.48,3.35,1.96,4.48,3.41,2.1,3.79,3.26,1.95
Poland,Ekstraklasa,2012/2013,25/08/2012,14:45,Widzew Lodz,Ruch,2,0,H,2.47,3.05,3.36,2.54,3.25,3.5,2.36,3.06,3.05
Poland,Ekstraklasa,2012/2013,25/08/2012,17:00,Polonia Warszawa,Lech Poznan,1,2,A,2.97,3.2,2.62,3.1,3.25,2.74,2.83,3.06,2.48
Poland,Ekstraklasa,2012/2013,26/08/2012,13:30,Slask Wroclaw,Korona Kielce,2,0,H,2.45,3.19,3.24,2.45,3.25,3.5,2.26,3.14,3.16
Poland,Ekstraklasa,2012/2013,26/08/2012,16:00,GKS Belchatow,Legia,0,2,A,4.78,3.38,1.93,4.78,3.45,2.0,3.92,3.28,1.93
Poland,Ekstraklasa,2012/2013,27/08/2012,17:30,Pogon Szczecin,Lechia Gdansk,0,2,A,2.02,3.27,4.05,2.4,3.45,4.15,2.1,3.18,3.5
Poland,Ekstraklasa,2012/2013,31/08/2012,17:00,Piast Gliwice,Pogon Szczecin,1,0,H,2.23,3.3,3.65,2.4,3.3,3.65,2.27,3.14,3.12
Poland,Ekstraklasa,2012/2013,31/08/2012,19:30,Wisla,Polonia Warszawa,1,3,A,1.95,3.45,4.47,1.95,3.5,5.0,1.81,3.32,4.49
Poland,Ekstraklasa,2012/2013,01/09/2012,12:30,Korona Kielce,Lechia Gdansk,0,1,A,2.21,3.22,3.74,2.25,3.3,3.75,2.13,3.15,3.4
Poland,Ekstraklasa,2012/2013,01/09/2012,14:45,Widzew Lodz,GKS Belchatow,1,0,H,2.06,3.2,4.32,2.06,3.35,4.32,2.0,3.21,3.73
Poland,Ekstraklasa,2012/2013,01/09/2012,17:00,Jagiellonia,Zaglebie,0,0,D,2.41,3.33,3.18,2.8,3.33,3.55,2.24,3.19,3.16
Poland,Ekstraklasa,2012/2013,02/09/2012,13:30,Lech Poznan,Gornik Z.,0,0,D,1.65,3.88,5.98,1.65,4.09,6.75,1.58,3.58,5.99
Poland,Ekstraklasa,2012/2013,02/09/2012,16:00,Slask Wroclaw,Ruch,1,0,H,2.0,3.49,4.09,2.04,3.5,4.09,1.97,3.31,3.71
Poland,Ekstraklasa,2012/2013,03/09/2012,17:30,Legia,Podbeskidzie,3,1,H,1.31,5.57,11.22,1.35,5.57,12.7,1.3,4.8,10.3
Poland,Ekstraklasa,2012/2013,14/09/2012,17:00,Podbeskidzie,Slask Wroclaw,1,1,D,3.63,3.27,2.22,3.75,3.35,2.38,3.23,3.18,2.21
Poland,Ekstraklasa,2012/2013,14/09/2012,19:45,Pogon Szczecin,Wisla,2,0,H,3.08,3.0,2.68,3.25,3.25,2.8,2.96,3.08,2.41
Poland,Ekstraklasa,2012/2013,15/09/2012,12:30,Polonia Warszawa,Jagiellonia,1,1,D,1.71,3.84,5.18,1.87,3.84,5.3,1.76,3.46,4.54
Poland,Ekstraklasa,2012/2013,15/09/2012,14:45,Lechia Gdansk,Piast Gliwice,1,2,A,1.92,3.35,4.72,2.0,3.45,4.75,1.89,3.28,4.1
Poland,Ekstraklasa,2012/2013,15/09/2012,17:00,Ruch,Korona Kielce,1,1,D,1.99,3.46,4.21,2.1,3.46,4.33,1.98,3.28,3.74
Poland,Ekstraklasa,2012/2013,16/09/2012,13:30,Zaglebie,Widzew Lodz,0,1,A,2.06,3.32,4.2,2.15,3.4,4.33,1.97,3.25,3.81
Poland,Ekstraklasa,2012/2013,16/09/2012,16:00,Gornik Z.,Legia,2,2,D,3.71,3.23,2.21,4.0,3.4,2.29,3.33,3.15,2.17
Poland,Ekstraklasa,2012/2013,17/09/2012,17:30,GKS Belchatow,Lech Poznan,0,1,A,3.53,3.12,2.34,3.85,3.35,2.36,3.4,3.13,2.16
Poland,Ekstraklasa,2012/2013,21/09/2012,17:00,Korona Kielce,Podbeskidzie,2,1,H,1.87,3.66,4.59,2.0,3.66,4.59,1.88,3.35,3.97
Poland,Ekstraklasa,2012/2013,21/09/2012,19:30,Legia,Polonia Warszawa,1,1,D,1.85,3.68,4.71,1.87,3.7,4.8,1.8,3.41,4.31
Poland,Ekstraklasa,2012/2013,22/09/2012,12:30,Jagiellonia,Piast Gliwice,0,2,A,1.94,3.56,4.32,1.94,3.56,4.57,1.86,3.33,4.15
Poland,Ekstraklasa,2012/2013,22/09/2012,14:45,Ruch,Zaglebie,2,1,H,2.15,3.41,3.77,2.25,3.41,3.77,2.1,3.23,3.41
Poland,Ekstraklasa,2012/2013,22/09/2012,17:00,Wisla,Lechia Gdansk,1,0,H,1.92,3.46,4.68,1.93,3.5,4.68,1.85,3.33,4.18
Poland,Ekstraklasa,2012/2013,23/09/2012,13:30,Slask Wroclaw,GKS Belchatow,2,1,H,1.61,3.96,6.56,1.75,3.96,6.56,1.65,3.58,5.21
Poland,Ekstraklasa,2012/2013,23/09/2012,16:00,Lech Poznan,Pogon Szczecin,1,1,D,1.68,3.7,6.37,1.75,3.8,6.5,1.64,3.5,5.55
Poland,Ekstraklasa,2012/2013,24/09/2012,17:30,Widzew Lodz,Gornik Z.,1,1,D,2.7,3.3,2.81,2.7,3.3,3.3,2.42,3.08,2.92
Poland,Ekstraklasa,2012/2013,28/09/2012,17:00,Podbeskidzie,Ruch,1,2,A,3.35,3.25,2.35,3.4,3.3,2.5,3.08,3.15,2.3
Poland,Ekstraklasa,2012/2013,28/09/2012,19:45,Polonia Warszawa,Widzew Lodz,3,1,H,2.04,3.32,4.3,2.15,3.35,4.5,1.96,3.19,4.01
Poland,Ekstraklasa,2012/2013,29/09/2012,12:30,GKS Belchatow,Korona Kielce,1,1,D,2.63,3.12,3.04,2.7,3.15,3.04,2.49,3.05,2.84
Poland,Ekstraklasa,2012/2013,29/09/2012,14:45,Pogon Szczecin,Jagiellonia,1,1,D,2.06,3.39,4.01,2.1,3.4,4.5,1.97,3.23,3.83
Poland,Ekstraklasa,2012/2013,29/09/2012,17:00,Zaglebie,Legia,2,2,D,4.07,3.38,2.04,4.46,3.45,2.06,3.9,3.26,1.94
Poland,Ekstraklasa,2012/2013,30/09/2012,13:30,Gornik Z.,Slask Wroclaw,4,1,H,2.36,3.26,3.39,2.4,3.26,3.39,2.31,3.14,3.04
Poland,Ekstraklasa,2012/2013,30/09/2012,16:00,Lechia Gdansk,Lech Poznan,2,0,H,3.39,3.15,2.43,3.6,3.25,2.43,3.26,3.13,2.2
Poland,Ekstraklasa,2012/2013,01/10/2012,17:30,Piast Gliwice,Wisla,2,0,H,3.08,3.15,2.56,3.35,3.3,2.56,2.99,3.11,2.36
